Public_MAG_ID	public_fasta_filename	original_fasta_filename	Unique_MAG_ID	genome_file	AT_BatchID	user_genome
RESPICAT_MAG_000800	RESPICAT_MAG_000800.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983372_MAG400.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983372_MAG400	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983372_MAG400.fasta	URT_B6_PRJNA917836_B2	MAG400
RESPICAT_MAG_000801	RESPICAT_MAG_000801.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983373_MAG379.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983373_MAG379	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983373_MAG379.fasta	URT_B6_PRJNA917836_B2	MAG379
RESPICAT_MAG_000802	RESPICAT_MAG_000802.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983373_MAG402.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983373_MAG402	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983373_MAG402.fasta	URT_B6_PRJNA917836_B2	MAG402
RESPICAT_MAG_000803	RESPICAT_MAG_000803.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983375_MAG355.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983375_MAG355	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983375_MAG355.fasta	URT_B6_PRJNA917836_B2	MAG355
RESPICAT_MAG_000804	RESPICAT_MAG_000804.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983377_MAG411.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983377_MAG411	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983377_MAG411.fasta	URT_B6_PRJNA917836_B2	MAG411
RESPICAT_MAG_000805	RESPICAT_MAG_000805.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983377_MAG412.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983377_MAG412	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983377_MAG412.fasta	URT_B6_PRJNA917836_B2	MAG412
RESPICAT_MAG_000806	RESPICAT_MAG_000806.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983378_MAG415.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983378_MAG415	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983378_MAG415.fasta	URT_B6_PRJNA917836_B2	MAG415
RESPICAT_MAG_000807	RESPICAT_MAG_000807.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983382_MAG419.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983382_MAG419	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983382_MAG419.fasta	URT_B6_PRJNA917836_B2	MAG419
RESPICAT_MAG_000808	RESPICAT_MAG_000808.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983383_MAG139.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983383_MAG139	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983383_MAG139.fasta	URT_B6_PRJNA917836_B2	MAG139
RESPICAT_MAG_000809	RESPICAT_MAG_000809.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983383_MAG422.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983383_MAG422	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983383_MAG422.fasta	URT_B6_PRJNA917836_B2	MAG422
RESPICAT_MAG_000810	RESPICAT_MAG_000810.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983384_MAG425.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983384_MAG425	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983384_MAG425.fasta	URT_B6_PRJNA917836_B2	MAG425
RESPICAT_MAG_000811	RESPICAT_MAG_000811.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983384_MAG426.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983384_MAG426	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983384_MAG426.fasta	URT_B6_PRJNA917836_B2	MAG426
